Price,Close,High,Low,Open,Volume
Ticker,ABBV,ABBV,ABBV,ABBV,ABBV
Date,,,,,
2013-01-02,20.731647491455078,20.896935511156848,20.1295321561872,20.613585263625154,13767900
2013-01-03,20.560455322265625,20.660806731215327,20.164947279592187,20.660806731215327,16739300
2013-01-04,20.300724029541016,20.59587849871573,20.218081138468076,20.436494815139397,21372100
2013-01-07,20.342044830322266,20.926451651578976,20.159050506418005,20.159050506418005,17897100
2013-01-08,19.89931297302246,20.44830044381191,19.6927057536285,20.241693224417947,17863300
2013-01-09,20.011470794677734,20.040985786629268,19.840280688769475,19.840280688769475,18800400
2013-01-10,20.07050323486328,20.07050323486328,19.674997340240655,19.86979811244066,15658100
2013-01-11,20.219831466674805,20.24970010256663,19.92116333701251,20.06452504185949,11191500
2013-01-14,20.363197326660156,20.45877105650776,20.18996922923091,20.31540932240762,11584900
2013-01-15,20.667837142944336,20.739519146772125,20.136208147170485,20.136208147170485,13040200
2013-01-16,21.22933006286621,21.22933006286621,20.578233484032047,20.590180482015604,16512700
2013-01-17,21.754989624023438,21.92224535805135,21.354775347627662,21.354775347627662,14424800
2013-01-18,22.292593002319336,22.292593002319336,21.528003182821344,21.76096400103355,17842200
2013-01-22,21.754989624023438,22.250779907667983,21.462296077125092,22.089498813421834,15809700
2013-01-23,22.579315185546875,22.603209188129732,21.80277833086404,22.047686160694568,10981600
2013-01-24,22.376216888427734,23.00939417648118,22.23882981509349,22.573338957988028,11327100
2013-01-25,22.459850311279297,22.603212066374315,21.88640784821481,22.412064578686152,8934600
2013-01-28,22.03573226928711,22.62112147758304,21.928211569941244,22.489709061782264,7140100
2013-01-29,22.28661346435547,22.376212523229704,21.65343629982354,21.928210392888527,8838500
2013-01-30,22.05963134765625,22.41803224229184,21.987951624460596,21.987951624460596,10841800
2013-01-31,21.916269302368164,22.059631025322,21.665389135520567,22.00587066404647,10720700
2013-02-01,22.208961486816406,22.220908485002155,21.814719661314328,22.005867074972493,9527500
2013-02-04,22.26869773864746,22.28064473873216,21.832642489513724,21.886402850566228,6348000
2013-02-05,22.220911026000977,22.537498538826455,22.208964026449067,22.352323463757628,7284400
2013-02-06,22.185070037841797,22.268696756087554,22.017816601350287,22.07754932048092,5738900
2013-02-07,21.754989624023438,22.441927364850656,21.384641710564186,22.441927364850656,9872500
2013-02-08,21.6534423828125,21.754988467128115,21.402562213098182,21.725122105779835,13858700
2013-02-11,21.414508819580078,21.61163092341223,21.354776091625943,21.58176455943516,6032100
2013-02-12,21.157644271850586,21.444367614603305,21.02623187496676,21.36671328099709,7473800
2013-02-13,21.06805419921875,21.247254655813148,20.99637447231248,21.157653288187234,4859800
2013-02-14,21.84459114074707,21.94016486999143,20.912745571621482,20.93663957359693,7570100
2013-02-15,22.44790267944336,22.58528977600734,22.0596331136244,22.0596331136244,13296300
2013-02-19,22.81226921081543,22.895898194914878,22.167147284074602,22.42400203859513,8292700
2013-02-20,23.063156127929688,23.373771293804175,22.46581979632273,22.794354322975103,8096400
2013-02-21,23.164705276489258,23.314039379155965,22.812276703049523,22.99147944917563,7260900
2013-02-22,22.973556518554688,23.206517341060465,22.782409060157256,23.170678616771852,4490400
2013-02-25,22.32246208190918,23.06316026869617,22.32246208190918,23.02134690026908,4665600
2013-02-26,22.15519905090332,22.459839500693295,22.077544709326776,22.459839500693295,4463000
2013-02-27,21.940160751342773,22.089494817669898,21.74304096869261,22.083522457625904,12238400
2013-02-28,22.053653717041016,22.185068423957063,21.80277358055438,21.898347291405052,10321000
2013-03-01,22.585294723510742,22.740601216665052,21.83264942952986,21.981983560072003,8929400
2013-03-04,22.842144012451172,22.8481163735997,22.418033453867444,22.418033453867444,5420800
2013-03-05,22.406082153320312,23.039259410461284,22.274669725352943,22.96757969714663,6650400
2013-03-06,22.543476104736328,22.61515583269674,22.322460002317392,22.43595537346697,5489500
