Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2000-01-03,37.91863250732422,40.24537505810922,37.118814755491876,39.91817688690507,12030800
2000-01-04,35.91908645629883,37.409655833533904,35.62824365098467,37.22787908021255,8774500
2000-01-05,36.646202087402344,36.646202087402344,35.48283059256418,35.91909490312849,6931400
2000-01-06,34.90113067626953,36.06450169881185,34.90113067626953,35.846369632085164,6603400
2000-01-07,36.93704605102539,36.93704605102539,35.33741019842193,35.919095963005006,6201600
2000-01-10,36.75525665283203,36.97338873979246,36.06450504412401,36.06450504412401,5453000
2000-01-11,35.81001663208008,37.00974307762185,35.628239897907086,36.90067703711805,4371500
2000-01-12,35.519168853759766,36.10085432117036,35.30103680348079,35.81001158746506,4599400
2000-01-13,36.13723373413086,36.355365929709116,35.77368007483377,36.13723373413086,4538900
2000-01-14,36.028160095214844,36.31900296177561,35.591895795373695,36.282647603455516,4578000
2000-01-18,35.19198989868164,35.6282542362686,34.97385772988816,35.6282542362686,5322000
2000-01-19,35.99177932739258,36.31897732127797,34.973830013082484,34.973830013082484,5176400
2000-01-20,35.37376022338867,35.91909054543475,34.8284299013426,35.810024481025536,7213400
2000-01-21,34.90113067626953,35.77365894317627,34.5739325761795,35.77365894317627,6682900
2000-01-24,33.737762451171875,35.446463782211836,32.97430015432424,35.446463782211836,7339600
2000-01-25,32.64711380004883,33.22879956931473,31.92000658846645,33.15608884815649,10252400
2000-01-26,33.374202728271484,33.55597943158451,32.02905512375509,32.53802989303157,8468400
2000-01-27,33.883182525634766,34.61028944678573,32.68345610573568,33.66505044928948,6915900
2000-01-28,32.356285095214844,33.41059101404769,32.28357434219189,33.15610337846735,7425100
2000-01-31,32.93793869018555,33.04700471233848,32.02905517224444,32.86522800875026,5958600
2000-02-01,36.06450653076172,36.06450653076172,33.047012536756455,33.11972323540718,10950500
2000-02-02,35.33740234375,35.77366657021605,34.683006004050924,35.48282375257202,5862100
2000-02-03,35.19198989868164,35.2647006216128,34.319461223507716,35.19198989868164,4008800
2000-02-04,35.55552673339844,35.77365879924751,35.08290725739212,35.48281604478208,4063900
2000-02-07,34.31943893432617,35.48280974565926,34.31943893432617,35.48280974565926,3796600
2000-02-08,35.482826232910156,35.737313716138,34.64665307373297,34.75571913797347,4501700
2000-02-09,34.17401123046875,35.664579805414725,34.17401123046875,35.664579805414725,5289700
2000-02-10,34.646644592285156,34.86477666736775,33.95589302119028,34.319446479661266,3644900
2000-02-11,34.93748474121094,35.191972143072,34.428509937488826,34.61028665310386,4647100
2000-02-14,35.082923889160156,35.191989973789674,34.57394882755576,34.61030418909893,3173900
2000-02-15,34.7557258605957,35.01021339304776,34.35581688102818,34.93750266949004,3531100
2000-02-16,33.30149459838867,34.53757627562144,32.428966355636135,34.174022841141216,6829800
2000-02-17,31.70185661315918,33.41055760033634,31.156526510868595,33.30149157987822,10785700
2000-02-18,31.26559066772461,32.46531682125357,30.72026059793871,31.73821006153905,10402700
2000-02-22,31.192888259887695,32.31990403617734,30.90204547890972,31.483731040865667,8019200
2000-02-23,31.88363265991211,31.99269867813302,30.75661713829606,31.52007926584242,6533700
